Generated Pairs (packet, event):
1 2 CSAA01 S8CST404 C
1 2 CSAA01 S8CST404 D
1 2 CSAA01 S8CST404 C
1 2 CSAA02 S8CST402 D
1 2 CSAA02 S8CST402 C
1 2 CSAA02 S8CST444 D
1 2 CSAA02 S8CST444 C
1 2 CSAA02 S8CST446 D
1 2 CSAA02 S8CST446 C
1 2 CSAA02 S8CST428 D
1 2 CSAA02 S8CST428 C
1 2 CSAA02 S8CST404 D
1 2 CSAA02 S8CST404 C
1 2 CSAA02 S8CST404 D
1 2 CSAA02 S8CST404 C
1 2 CSAA03 S8CST402 D
1 2 CSAA03 S8CST402 C
1 2 CSAA03 S8CST444 D
1 2 CSAA03 S8CST444 C
1 2 CSAA03 S8CST446 D
1 2 CSAA03 S8CST446 C
1 2 CSAA03 S8CST428 D
1 2 CSAA03 S8CST428 C
1 2 CSAA03 S8CST404 D
1 2 CSAA03 S8CST404 C
1 2 CSAA03 S8CST404 D
1 2 CSAA03 S8CST404 C
1 2 CSAA04 S8CST402 D
1 2 CSAA04 S8CST402 C
1 2 CSAA04 S8CST444 D
1 2 CSAA04 S8CST444 C
1 2 CSAA04 S8CST446 D
1 2 CSAA04 S8CST446 C
1 2 CSAA04 S8CST428 D
1 2 CSAA04 S8CST428 C
1 2 CSAA04 S8CST404 D
1 2 CSAA04 S8CST404 C
1 2 CSAA04 S8CST404 D
1 2 CSAA04 S8CST404 C
1 2 CSAA05 S8CST402 D
1 2 CSAA05 S8CST402 C
1 2 CSAA05 S8CST444 D
1 2 CSAA05 S8CST444 C
1 2 CSAA05 S8CST446 D
1 2 CSAA05 S8CST446 C
1 2 CSAA05 S8CST428 D
1 2 CSAA05 S8CST428 C
1 2 CSAA05 S8CST404 D
1 2 CSAA05 S8CST404 C
1 2 CSAA05 S8CST404 D
1 2 CSAA05 S8CST404 C
1 2 CSAA06 S8CST402 D
1 2 CSAA06 S8CST402 C
1 2 CSAA06 S8CST444 D
1 2 CSAA06 S8CST444 C
1 2 CSAA06 S8CST446 D
1 2 CSAA06 S8CST446 C
